review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R27ZP1F1CD0C3Y,5,0,0,N,Y
RJ7RSBCHUDNNE,5,0,0,N,Y
R1HVYBSKLQJI5S,5,0,0,N,Y
R2HAXF0IIYQBIR,1,0,0,N,Y
RNYLPX611NB7Q,5,0,0,N,Y
R3ALA9XXMBEDZR,5,0,0,N,Y
R3R8PHAVJFTPDF,5,0,0,N,Y
R18WWEK8OIXE30,5,0,0,N,Y
R1EGUNQON2J277,1,0,0,N,Y
R21Z4M4L98CPU2,5,0,0,N,Y
R6JH7A117FHFA,5,0,0,N,Y
R1XZHS8M1GCGI7,5,1,1,N,Y
R1DAI0N03SKRJN,5,1,1,N,Y
R2F6SKZOEYQRU3,5,0,0,N,N
RIBOP6OEAZA47,5,1,1,N,Y
R15H8E7WD6XD29,5,0,0,N,Y
RVN4P3RU4F8IE,5,0,0,N,Y
RCS8F9JCAAXC7,4,0,0,N,Y
R6811C4E7UYL2,5,0,0,N,Y
R196T0NZ73TYIM,5,1,1,N,Y
RDSFSZDZ0P6QH,4,1,1,N,N
R2KJB0ISRU3K8T,5,0,0,N,Y
RXQVU8WBA6599,5,0,0,N,Y
R13UP4ELOFYDB5,5,0,0,N,Y
R1CYSR7RQ4PQ2Y,5,0,0,N,Y
R24LZLKSCCSYWL,5,0,0,N,Y
R2CVTFQHFVIQW,5,0,0,N,Y
R5K9BOSGXCBVW,5,0,0,N,Y
R2L11KICV0FJYO,5,0,0,N,Y
R1LAKLBYB33YMH,5,0,0,N,Y
R1FIU59Z4UXOIT,2,0,0,N,Y
R33Z0BTLKLZHTS,5,0,0,N,Y
R3MHW0ENYJ5FKI,5,1,1,N,Y
R2HOK11I95LU9L,4,0,0,N,Y
R28MKHFPITXK4D,5,0,0,N,Y
R3KLV1HD0EFCSV,5,1,2,N,Y
R1B82GQ1N67E21,5,0,0,N,Y
R3Q962V3KIETTS,5,0,0,N,Y
R2UT58YDBKHC1H,5,1,1,N,Y
R3Q8PE8SRYPGXM,5,0,0,N,Y
R19GKFEN4O01RA,5,1,1,N,Y
R1PRR8CXUJ9XF4,5,1,1,N,Y
R1EZ03XLAGLKAS,5,0,0,N,Y
RDIX3BURJL6U3,5,2,2,N,Y
